Região,Lat,Lon
"Alexandre Gusmão, DF",-15.7364,-48.158049
"Brazlândia, DF",-15.6808898,-48.1942621
"Ceilândia, DF",-15.8173391,-48.1045766
"Gama, DF",-16.0170857,-48.0653054
"Jardim, DF",-15.9895654,-47.3925384
"PAD-DF, DF",-16.0064387,-47.5567053
"Paranoá, DF",-15.77544,-47.7797631
"Pipiripau, DF",-15.6588512,-47.6347106
"Planaltina, DF",-15.6181947,-47.6555703
"São Sebastião, DF",-15.9033774,-47.7717736
"Sobradinho, DF",-15.6500533,-47.7848449
"Tabatinga, DF",-15.8199455,-47.5692397
"Taquara, DF",-15.6316509,-47.5192413
"Vargem Bonita, DF",-15.89111,-47.9614172
"Santa Maria, DF",-16.0171229,-48.0131328
"Plano Piloto, DF",-15.7183687,-47.9950273
"Guará, DF",-15.8235629,-47.9768165
"Núcleo Bandeirante, DF",-15.8711851,-47.9679941
"Recanto das Emas, DF",-15.9025481,-48.0607778
"Samambaia, DF",-15.8769989,-48.0881004
"Taguatinga, DF",-15.8335277,-48.0565716
